City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
390,Zarubino,RU,63.93,overcast clouds,42.63,131.0922,Okean
391,Cockburn Town,TC,82.17,few clouds,21.4612,-71.1419,Osprey Beach Hotel
392,Norman Wells,CA,60.96,light rain,65.282,-126.8329,Heritage Hotel
393,Carballo,ES,76.42,clear sky,43.213,-8.691,Pazo do Souto
394,Pisco,PE,63.86,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
395,Niitsu,JP,66.9,overcast clouds,37.8,139.1167,ビジネスホテル 新光
396,Lang Son,VN,73.56,clear sky,21.8333,106.7333,Khai Nga Hotel
397,Paris,FR,75.47,overcast clouds,48.8534,2.3488,Britannique Hotel - Paris Centre
399,Savelugu,GH,71.98,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
400,San Jeronimo,PE,65.68,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
403,Portland,US,77.99,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
407,Katsuura,JP,77.36,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
408,Sao Joao Da Barra,BR,72.84,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
409,Kasongo,CD,82.74,overcast clouds,-4.45,26.6667,Guest Hôtel
410,College,US,62.1,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
411,Houma,US,77.0,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
420,Asfi,MA,78.55,overcast clouds,32.2994,-9.2372,Hôtel Abda
421,Planaltina,BR,77.95,clear sky,-15.4528,-47.6142,Afrodite Motel Planaltina GO
422,Hibbing,US,76.39,overcast clouds,47.4272,-92.9377,Mitchell-Tappan House - Carriage House Rentals
423,Limbang,MY,73.67,overcast clouds,4.75,115.0,Purnama Hotel
426,Hereford,GB,68.05,overcast clouds,52.0568,-2.7148,The Green Dragon Hotel
427,Bone,DE,68.9,clear sky,51.9669,12.1396,Sporthotel Wallwitz
