City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Sioux Lookout,CA,50.1001,-91.917,63.73,91,100,8.3,overcast clouds
211,Ilulissat,GL,69.2167,-51.1,39.04,99,100,4.32,light rain
212,Mehriz,IR,31.5917,54.4318,91.9,12,0,1.92,clear sky
213,Luganville,VU,-15.5333,167.1667,76.93,85,0,1.54,clear sky
214,Chara,RU,56.9064,118.2631,62.76,81,11,2.44,few clouds
215,Tacoronte,ES,28.4769,-16.4102,80.92,44,20,3.44,few clouds
216,Cervo,ES,43.6702,-7.4101,67.96,88,7,8.32,clear sky
217,Ardakan,IR,32.31,54.0175,94.14,9,0,5.99,clear sky
218,Lahij,YE,13.1667,44.5833,86.63,49,75,6.53,light rain
219,Bereda,ES,43.2686,-7.5406,61.27,85,0,4.59,clear sky
220,Bani Walid,LY,31.7566,13.9942,78.39,43,0,11.3,clear sky
221,Dawson Creek,CA,55.7666,-120.2362,77.22,36,56,7.52,broken clouds
222,Atambua,ID,-9.1061,124.8925,64.24,79,100,5.35,overcast clouds
223,Sur,OM,22.5667,59.5289,88.2,65,37,13.4,scattered clouds
224,Gornoye Loo,RU,43.7129,39.6049,67.78,84,0,5.95,clear sky
225,Porto Walter,BR,-8.2686,-72.7439,84.6,60,100,0.25,overcast clouds
226,Lianzhou,CN,24.7811,112.3825,77.58,87,7,2.17,clear sky
227,Morden,CA,49.1919,-98.1014,74.08,60,99,11.5,overcast clouds
228,Haines Junction,CA,60.7522,-137.5108,62.55,42,92,5.75,overcast clouds
229,Sao Filipe,CV,14.8961,-24.4956,78.01,84,100,5.06,light rain
230,Cidreira,BR,-30.1811,-50.2056,63.21,97,36,9.71,scattered clouds
231,Axim,GH,4.8699,-2.2405,75.43,79,63,6.98,broken clouds
232,Matamoros,MX,25.5333,-103.25,97.14,17,8,12.71,clear sky
233,Madoc,CA,44.5084,-77.4745,88.3,50,8,13.4,clear sky
234,Borgarnes,IS,64.5383,-21.9206,62.82,74,100,4.59,overcast clouds
235,Liwale,TZ,-9.7667,37.9333,64.47,78,49,3.49,scattered clouds
236,Kirakira,SB,-10.4544,161.9205,78.03,84,46,5.48,scattered clouds
237,Patiya,BD,22.2931,91.9762,75.49,94,100,4.56,overcast clouds
238,Emba,KZ,48.8264,58.1442,77.76,41,94,5.99,overcast clouds
239,Narsaq,GL,60.9167,-46.05,50.97,73,98,6.82,overcast clouds
240,Mount Isa,AU,-20.7333,139.5,44.37,76,0,0.0,clear sky
241,Formosa Do Rio Preto,BR,-11.0483,-45.1931,87.28,23,55,7.7,broken clouds
242,Boralday,KZ,43.3578,76.8594,76.86,38,20,6.71,few clouds
243,Tallahassee,US,30.4383,-84.2807,91.33,80,75,14.97,thunderstorm
244,Genhe,CN,50.7833,121.5167,56.34,97,39,3.27,scattered clouds
245,Wewak,PG,-3.5534,143.6268,79.36,85,39,5.46,scattered clouds
246,Kholm-Zhirkovskiy,RU,55.5189,33.4731,62.4,89,0,5.95,clear sky
247,Brzesko,PL,49.9691,20.6061,69.58,92,100,3.8,moderate rain
248,Vao,NC,-22.6667,167.4833,74.17,86,98,19.17,overcast clouds
249,Bonavista,CA,48.6499,-53.1147,66.6,87,77,9.13,broken clouds
250,Maine-Soroa,NE,13.2114,12.0241,86.77,48,79,8.55,broken clouds
251,Lashio,MM,22.9333,97.75,67.73,99,90,0.72,overcast clouds
252,Carutapera,BR,-1.195,-46.02,81.77,75,99,7.81,overcast clouds
253,Ravar,IR,31.2656,56.8055,89.98,11,0,3.27,clear sky
254,Viedma,AR,-40.8135,-62.9967,55.96,48,100,4.41,overcast clouds
255,Geraldton,AU,-28.7667,114.6,57.61,62,75,14.97,broken clouds
256,Muisne,EC,0.6,-80.0333,75.6,80,97,10.2,overcast clouds
257,Acapulco,MX,16.8634,-99.8901,86.94,66,100,5.53,overcast clouds
258,Arshan,RU,46.2732,44.22,62.98,67,44,8.95,scattered clouds
259,Hambantota,LK,6.1241,81.1185,79.25,79,88,18.77,overcast clouds
260,Faanui,PF,-16.4833,-151.75,79.47,72,5,13.18,clear sky
261,Neyshabur,IR,36.2133,58.7958,82.69,39,0,5.32,clear sky
262,Wanning,CN,18.8003,110.3967,79.27,85,0,5.23,clear sky
263,Baykit,RU,61.67,96.37,59.63,97,100,2.42,overcast clouds
264,Blagoyevo,RU,63.3667,47.9167,65.19,67,81,4.32,broken clouds
265,Samarai,PG,-10.6167,150.6667,79.3,83,81,13.73,broken clouds
266,Campbell River,CA,50.0163,-125.2446,71.6,56,20,3.44,few clouds
267,Sola,VU,-13.8833,167.55,79.97,77,9,9.31,clear sky
268,Padang,ID,-0.9492,100.3543,76.89,87,99,4.94,overcast clouds
269,Kruisfontein,ZA,-34.0033,24.7314,50.88,71,12,16.04,few clouds
270,Puerto Ayacucho,VE,5.6639,-67.6236,84.88,72,57,3.44,light rain
271,Vinh,VN,18.6667,105.6667,77.4,93,0,2.66,clear sky
272,Hobyo,SO,5.3505,48.5268,76.42,83,19,28.12,few clouds
273,Umm Lajj,SA,25.0213,37.2685,87.46,54,100,9.66,overcast clouds
274,Khromtau,KZ,50.2503,58.4347,69.53,46,62,7.43,broken clouds
275,Luderitz,NA,-26.6481,15.1594,60.39,63,0,23.53,clear sky
276,Sorland,NO,67.667,12.6934,52.32,85,82,10.45,broken clouds
277,Galle,LK,6.0367,80.217,78.96,87,77,15.37,broken clouds
278,Klaksvik,FO,62.2266,-6.589,50.92,89,99,15.99,overcast clouds
279,Acajutla,SV,13.5928,-89.8275,83.73,76,54,5.1,broken clouds
280,Nanortalik,GL,60.1432,-45.2371,44.83,90,89,10.74,overcast clouds
281,Stykkisholmur,IS,65.0757,-22.7297,52.09,79,100,7.81,overcast clouds
282,Anadyr,RU,64.75,177.4833,45.1,87,40,6.71,scattered clouds
283,Dauphin,CA,51.1494,-100.0502,66.34,59,100,11.5,overcast clouds
284,Karratha,AU,-20.7377,116.8463,62.11,44,0,11.07,clear sky
285,Lorengau,PG,-2.0226,147.2712,81.03,80,21,5.61,few clouds
286,Kinsale,IE,51.7075,-8.5306,62.28,91,100,17.76,overcast clouds
287,Kavieng,PG,-2.5744,150.7967,81.72,76,6,11.03,clear sky
288,Watsa,CD,3.0372,29.5355,64.17,98,26,0.58,light rain
289,Ancud,CL,-41.8697,-73.8203,45.54,90,100,1.72,light rain
290,Tomatlan,MX,19.9333,-105.25,91.42,56,83,10.54,broken clouds
291,Altamira,BR,-3.2033,-52.2064,90.91,46,98,1.86,overcast clouds
292,Kihei,US,20.785,-156.4656,80.89,59,6,2.33,clear sky
293,Sangar,RU,63.9242,127.4739,60.26,85,3,5.28,clear sky
294,Iwanai,JP,42.9744,140.5089,65.59,97,100,3.47,overcast clouds
295,Vardo,NO,70.3705,31.1107,51.87,88,61,15.3,broken clouds
296,Savannah Bight,HN,16.45,-85.85,82.92,81,95,21.56,overcast clouds
297,Trinidad,BO,-14.8333,-64.9,93.18,43,20,8.05,few clouds
298,Solone,UA,48.2081,34.8721,66.07,68,11,6.87,few clouds
299,Asosa,ET,10.0667,34.5333,61.72,95,100,1.72,light rain
300,Synya,RU,65.3718,58.0387,46.78,96,49,4.09,scattered clouds
301,Amparafaravola,MG,-17.5833,48.2167,54.3,98,17,3.2,few clouds
302,Pucallpa,PE,-8.3791,-74.5539,89.64,51,40,6.91,scattered clouds
303,Corby,GB,52.4964,-0.6894,71.83,64,99,13.29,overcast clouds
304,Nykoping,SE,58.753,17.0079,59.29,94,20,3.44,light intensity drizzle
305,Harda,IN,22.3333,77.1,74.41,97,100,11.5,moderate rain
306,Ulaanbaatar,MN,47.9077,106.8832,53.73,87,40,2.24,scattered clouds
307,Walvis Bay,NA,-22.9575,14.5053,58.15,72,0,4.61,clear sky
308,Usinsk,RU,65.9939,57.5281,48.88,86,57,10.83,broken clouds
309,Auki,SB,-8.7676,160.7034,76.84,88,20,3.58,few clouds
310,Russell,US,32.3502,-85.1999,89.38,83,75,5.75,light rain
311,Lagoa,PT,39.05,-27.9833,73.45,86,13,10.04,few clouds
312,Cayenne,GF,4.9333,-52.3333,86.04,8,95,12.66,overcast clouds
313,Labuhan,ID,-6.8844,112.2051,75.72,84,79,6.31,broken clouds
314,Amarillo,US,35.222,-101.8313,98.64,19,3,16.49,clear sky
315,Bagdarin,RU,54.4333,113.6,58.69,98,100,2.71,overcast clouds
316,Guerrero Negro,MX,27.9769,-114.0611,75.74,58,10,15.35,clear sky
317,Pangnirtung,CA,66.1451,-65.7125,55.35,57,10,4.63,clear sky
318,Merauke,ID,-8.4667,140.3333,75.27,92,60,11.86,broken clouds
319,Monastyrshchina,RU,54.3496,31.838,63.19,86,2,6.62,clear sky
320,General Roca,AR,-39.0333,-67.5833,56.62,45,100,7.92,light rain
321,Blenheim,NZ,-41.516,173.9528,40.51,85,100,3.96,overcast clouds
322,Mount Gambier,AU,-37.8333,140.7667,49.91,100,100,10.36,overcast clouds
323,Faya,SA,18.3851,42.4509,67.48,63,100,2.91,light rain
324,Chipinge,ZW,-20.1883,32.6236,54.41,68,0,4.25,clear sky
325,Champasak,LA,14.75,106.0,72.16,99,71,1.97,broken clouds
326,Soubre,CI,5.7856,-6.6083,74.55,79,98,3.78,overcast clouds
327,Yar-Sale,RU,66.8333,70.8333,50.32,75,73,15.97,broken clouds
328,Almas,RO,46.2833,22.2333,76.95,34,23,2.95,few clouds
329,Nampula,MZ,-15.1165,39.2666,62.11,88,3,2.62,clear sky
330,Touros,BR,-5.1989,-35.4608,78.08,80,61,17.13,broken clouds
331,Puerto Madryn,AR,-42.7692,-65.0385,43.59,97,100,10.31,overcast clouds
332,Bilma,NE,18.6853,12.9164,95.77,17,7,3.18,clear sky
333,Sandwick,GB,60.0,-1.25,55.22,76,75,13.8,broken clouds
334,Kaeo,NZ,-35.1,173.7833,58.32,86,100,16.93,light rain
335,Ossora,RU,59.2353,163.0719,53.73,66,3,9.71,clear sky
336,Agde,FR,43.3108,3.4758,89.46,32,0,11.5,clear sky
337,Ostroda,PL,53.6967,19.9649,61.56,97,67,3.2,broken clouds
338,Inuvik,CA,68.3499,-133.7218,46.62,90,100,10.92,light rain
339,Nizwa,OM,22.9333,57.5333,89.53,53,14,3.87,few clouds
340,Havelock,US,34.8791,-76.9013,88.99,74,70,4.0,broken clouds
341,Awbari,LY,26.5921,12.7805,86.0,20,0,10.04,clear sky
